strategy	promptFile	answerFile	source	target	depth	answer	correct
alphanumeric_step-by-step	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/prompts/1/yes/0.txt	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/results/1/yes/0.txt	jbxepdxr	jmanzfzs	1	YES	true
alphanumeric_step-by-step	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/prompts/1/no/0.txt	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/results/1/no/0.txt	qqqaqhax	ltgfmsjt	1	NO	true
alphanumeric_step-by-step	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/prompts/1/yes/1.txt	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/results/1/yes/1.txt	zeerdevj	nqnpdndr	1	NA	false
alphanumeric_step-by-step	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/prompts/1/no/1.txt	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/results/1/no/1.txt	ekhcpwaa	vnjboovs	1	NO	true
alphanumeric_step-by-step	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/prompts/1/yes/2.txt	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/results/1/yes/2.txt	kgouukyk	xceenbqc	1	NA	false
alphanumeric_step-by-step	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/prompts/1/no/2.txt	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/results/1/no/2.txt	bwolnakz	xceenbqc	1	YES	false
alphanumeric_step-by-step	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/prompts/1/yes/3.txt	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/results/1/yes/3.txt	alcozutp	bodtmmjc	1	YES	true
alphanumeric_step-by-step	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/prompts/1/no/3.txt	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/results/1/no/3.txt	rcuxpwcf	ivsetsce	1	YES	false
alphanumeric_step-by-step	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/prompts/1/yes/4.txt	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/results/1/yes/4.txt	zibzhipy	anwdxdcf	1	YES	true
alphanumeric_step-by-step	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/prompts/1/no/4.txt	dataset/gpt-3.5-turbo-1106-25-true-ALPHANUMERIC-STEP_BY_STEP/results/1/no/4.txt	xbswlmqn	pzlnkgxk	1	NO	true
