strategy	promptFile	answerFile	source	target	depth	answer	correct	inTokens	outTokens
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/0.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/0.txt	m3	m4	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/0.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/0.txt	m11	m3	1	NO	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/1.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/1.txt	m3	m4	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/1.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/1.txt	m11	m8	1	YES	false	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/2.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/2.txt	m1	m2	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/2.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/2.txt	m11	m2	1	NO	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/3.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/3.txt	m3	m4	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/3.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/3.txt	m11	m3	1	NO	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/4.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/4.txt	m7	m8	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/4.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/4.txt	m11	m4	1	NO	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/5.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/5.txt	m6	m7	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/5.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/5.txt	m11	m10	1	YES	false	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/6.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/6.txt	m1	m2	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/6.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/6.txt	m11	m3	1	NO	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/7.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/7.txt	m5	m6	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/7.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/7.txt	m11	m8	1	NO	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/8.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/8.txt	m4	m5	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/8.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/8.txt	m11	m8	1	NO	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/9.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/9.txt	m4	m5	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/9.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/9.txt	m11	m7	1	NO	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/10.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/10.txt	m2	m3	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/10.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/10.txt	m11	m10	1	YES	false	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/11.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/11.txt	m1	m2	1	YES	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/no/11.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/no/11.txt	m11	m2	1	NO	true	191	1
gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/prompts/1/yes/12.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-YES_NO-10-384/results/1/yes/12.txt	m7	m8	1	YES	true	191	1
