strategy	promptFile	answerFile	source	target	depth	answer	correct	inTokens	outTokens
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/0.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/0.txt	rosvwwbh	jcmnnjdt	1	YES	true	1935	67
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/0.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/0.txt	vuvyvihi	qqsamshj	1	NO	true	1940	59
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/1.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/1.txt	niuyzzsy	isrccvcc	1	YES	true	1923	54
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/1.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/1.txt	dfubutcz	eqynnpxr	1	NO	true	1916	64
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/2.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/2.txt	evgmczlm	wdwzvojt	1	YES	true	1955	60
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/2.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/2.txt	pxnjfets	buyfyjyd	1	YES	false	1951	117
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/3.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/3.txt	plsrftcu	udizetvh	1	YES	true	1917	30
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/3.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/3.txt	hnjyqers	hhchenqu	1	YES	false	1937	201
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/4.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/4.txt	wcrduyek	wmbetjvx	1	NO	false	1960	152
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/4.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/4.txt	crgguujf	ldslreql	1	NO	true	1907	161
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/5.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/5.txt	pqfomfru	abbwfvwx	1	YES	true	1937	54
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/5.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/5.txt	ecudahop	gffxukcs	1	NO	true	1936	76
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/6.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/6.txt	lbuhzcpt	ycpmsljg	1	YES	true	1939	75
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/6.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/6.txt	opyvtuna	ytkvbqcd	1	NO	true	1946	62
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/7.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/7.txt	edauzddt	mlkxmlfe	1	YES	true	1925	37
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/7.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/7.txt	wstghkzs	uszsmqky	1	YES	false	1938	49
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/8.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/8.txt	ifgqjxan	gzbjzxuf	1	YES	true	1933	49
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/8.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/8.txt	mbxzvppp	zeyfgvcd	1	NO	true	1944	241
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/9.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/9.txt	rkhdbjdc	iitappji	1	YES	true	1932	53
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/9.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/9.txt	doajyoyv	acyzsygi	1	YES	false	1937	345
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/yes/10.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/yes/10.txt	jbnrgfdg	fatydnpy	1	YES	true	1939	364
gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/prompts/1/no/10.txt	dataset/gpt-3.5-turbo-0125-100-true-ALPHANUMERIC-STEP_BY_STEP-100-384/results/1/no/10.txt	qrjqlina	tjoimsws	1	NO	true	1933	406
